date,value
All Business,2620
All Business,29080
All Business,4340
All Business,1880
All Business,1400
All Business,49740
All Business,5380
All Business,11600
All Business,12980
All Business,1540
All Business,28740
All Business,15160
All Business,73960
All Business,5180
All Business,3800
All Business,24240
All Business,380
All Business,29360
All Business,2700
All Business,6760
All Business,13940
All Business,220
All Business,2180
All Business,6520
All Business,10860
All Business,3560
All Business,12620
All Business,36220
All Business,160
All Business,8080
All Business,40780
All Business,5060
All Business,1660
All Business,700
All Business,660
All Business,540
All Business,20920
All Business,12460
All Business,260
All Business,37260
All Business,14640
All Business,13700
All Business,2640
All Business,16500
All Business,4140
All Business,3280
All Business,12780
All Business,1960
All Business,12580
All Business,25300
All Business,3120
All Business,9200
All Business,3660
All Business,8640
All Business,5360
All Business,13220
All Business,1240
All Business,1020
All Business,2860
All Business,6320
All Business,160
All Business,49620
All Business,13380
All Business,88580
All Business,17080
All Business,18700
All Business,7360
All Business,23080
All Business,4100
All Business,220
All Business,1580
All Business,13580
All Business,17720
All Business,26220
All Business,340
All Business,3720
All Business,11380
All Business,5620
All Business,15880
All Business,500
All Business,3920
All Business,22900
All Business,22100
All Business,35460
All Business,3840
All Business,11140
All Business,120
All Business,1300
All Business,1740
All Business,1620
All Business,1420
All Business,8980
All Business,2960
All Business,3260
All Business,5460
All Business,2520
All Business,3020
All Business,300
All Business,305120
All Business,400
All Business,3860
All Business,15280
All Business,6560
All Business,7880
All Business,600
All Business,10600
All Business,5440
All Business,62840
All Business,1480
All Business,11240
All Business,4080
All Business,1400
All Business,1200
All Business,59660
All Business,8860
All Business,1180
All Business,14720
All Business,1600
All Business,2120
All Business,1800
All Business,1280
All Business,2760
All Business,6400
All Business,54660
All Business,540
All Business,6540
All Business,2620
All Business,5340
All Business,4160
All Business,3080
All Business,5560
All Business,3480
All Business,84120
All Business,2400
All Business,9080
All Business,6820
All Business,16900
All Business,3600
All Business,9060
All Business,2100
All Business,43320
All Business,111120
All Business,3800
All Business,1000
All Business,25720
All Business,2340
All Business,600
All Business,3080
All Business,2440
All Business,52760
All Business,3660
All Business,64060
All Business,8280
All Business,34100
All Business,26980
All Business,7180
All Business,2020
All Business,3300
All Business,840
All Business,8640
All Business,14680
All Business,1400
All Business,340
All Business,15280
All Business,6440
All Business,16900
All Business,4420
All Business,20540
All Business,3140
All Business,14360
All Business,4100
All Business,300
All Business,2040
All Business,660
All Business,600
All Business,5160
All Business,4180
All Business,3100
All Business,21480
All Business,620
All Business,7360
All Business,2820
All Business,11480
All Business,15400
All Business,231420
All Business,15780
All Business,1080
All Business,440
All Business,19060
All Business,740
All Business,29560
All Business,50520
All Business,6900
All Business,6160
All Business,5320
All Business,780
All Business,46680
All Business,1140
All Business,280
All Business,860
All Business,1240
All Business,14060
All Business,2560
All Business,3240
All Business,3480
All Business,11000
All Business,2420
All Business,280
All Business,10520
All Business,242480
All Business,780
All Business,13900
All Business,15300
All Business,1340
All Business,14140
All Business,1480
All Business,12960
All Business,3560
All Business,22080
All Business,9660
All Business,13380
All Business,760
All Business,2220
All Business,160
All Business,31560
All Business,2880
All Business,25740
All Business,14040
All Business,5080
All Business,740
All Business,2640
All Business,85840
All Business,680
All Business,3860
All Business,35160
All Business,3700
All Business,48680
All Business,6020
All Business,41160
All Business,7500
All Business,36220
All Business,220
All Business,640
All Business,2240
All Business,5340
All Business,66140
All Business,28560
All Business,9440
All Business,4600
All Business,5300
All Business,3160
All Business,9040
All Business,102900
All Business,44580
All Business,9340
All Business,1580
All Business,3980
All Business,5880
All Business,4660
All Business,58180
All Business,900
All Business,20180
All Business,14780
All Business,340
All Business,4960
All Business,96880
All Business,27540
All Business,3200
All Business,2920
All Business,11060
All Business,340
All Business,4720
All Business,800
All Business,13800
All Business,5900
All Business,500
All Business,1300
All Business,6500
All Business,640
All Business,2640
All Business,5600
All Business,22400
All Business,920
All Business,3700
All Business,840
All Business,1340
All Business,3300
All Business,4540
All Business,14120
All Business,700
All Business,2540
All Business,1980
All Business,3340
All Business,1380
All Business,24560
All Business,5180
All Business,3000
All Business,420
All Business,660
All Business,29140
All Business,1720
All Business,5060
All Business,2780
All Business,300
All Business,700
All Business,8760
All Business,85360
All Business,9900
All Business,28160
All Business,480
All Business,18820
All Business,18300
All Business,2420
All Business,340
All Business,1080
All Business,1700
All Business,44300
All Business,18660
All Business,2120
All Business,580
All Business,1360
All Business,2820
All Business,1500
All Business,30340
All Business,14040
All Business,25020
All Business,180
All Business,6920
All Business,680
All Business,940
All Business,1240
All Business,4900
All Business,5000
All Business,4280
All Business,3480
All Business,3940
All Business,2200
All Business,960
All Business,4680
All Business,12320
All Business,9120
All Business,28960
All Business,480
All Business,1060
All Business,3060
All Business,260
All Business,2180
All Business,5400
All Business,3680
All Business,9140
All Business,2680
